title,category,price_gbp,rating,availability,book_url
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,Mystery,43.45,3,True,https://books.toscrape.com/catalogue/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,True,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,True,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,True,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,Mystery,12.29,5,True,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,True,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,True,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),Mystery,53.98,1,True,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Tipping the Velvet,Historical Fiction,53.74,1,True,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,Historical Fiction,36.95,1,True,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,Historical Fiction,30.25,5,True,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,Historical Fiction,28.08,4,True,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",Historical Fiction,20.55,2,True,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,Historical Fiction,39.01,4,True,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,Historical Fiction,17.28,2,True,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,Historical Fiction,37.34,1,True,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,Historical Fiction,28.32,5,True,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,Historical Fiction,26.77,1,True,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),Historical Fiction,21.07,5,True,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,Historical Fiction,35.66,5,True,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,Historical Fiction,46.83,2,True,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Between Shades of Gray,Historical Fiction,20.79,5,True,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
While You Were Mine,Historical Fiction,41.32,5,True,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
The Secret Healer,Historical Fiction,34.56,3,True,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Starlark,Historical Fiction,25.83,3,True,https://books.toscrape.com/catalogue/starlark_56/index.html
Lost Among the Living,Historical Fiction,27.7,4,True,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,True,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
